type,bbox,interactivity,content,source,ID
text,"[0.05416666716337204, 0.014814814552664757, 0.19479165971279144, 0.04259259253740311]",False,1517 12th Ave #407-Google M,box_ocr_content_ocr,0
text,"[0.12291666865348816, 0.07500000298023224, 0.8708333373069763, 0.10462962836027145]",False,"google.com/maps/place/1517+12th+Ave+%23407,+Seattle+WA+98122/@47.6146017-122.3198293,17z/data=13m1!4b1!4m5!3m4!1s0x54906acd..",box_ocr_content_ocr,1
text,"[0.17083333432674408, 0.16944444179534912, 0.2239583283662796, 0.1944444477558136]",False,E-Olive-St,box_ocr_content_ocr,2
text,"[0.4104166626930237, 0.16203702986240387, 0.4958333373069763, 0.18981482088565826]",False,41Restaurants,box_ocr_content_ocr,3
text,"[0.0, 0.17314815521240234, 0.03958333283662796, 0.19814814627170563]",False,OliveSt,box_ocr_content_ocr,4
text,"[0.2927083373069763, 0.17592592537403107, 0.31458333134651184, 0.20092593133449554]",False,Seat,box_ocr_content_ocr,5
text,"[0.2718749940395355, 0.192592591047287, 0.3125, 0.21851852536201477]",False,Creative,box_ocr_content_ocr,6
text,"[0.0, 0.317592591047287, 0.04583333432674408, 0.34351852536201477]",False,Ramen &,box_ocr_content_ocr,7
text,"[0.35104167461395264, 0.32685184478759766, 0.49166667461395264, 0.35277777910232544]",False,Search more categories,box_ocr_content_ocr,8
text,"[0.0, 0.33796295523643494, 0.07187499850988388, 0.3638888895511627]",False,|Capitol Hill |,box_ocr_content_ocr,9
text,"[0.0010416667209938169, 0.3731481432914734, 0.0364583320915699, 0.39351850748062134]",False,Ramen,box_ocr_content_ocr,10
text,"[0.8770833611488342, 0.36759260296821594, 0.9979166388511658, 0.39351850748062134]",False,Kedai MakanCapitol Hill,box_ocr_content_ocr,11
text,"[0.16093750298023224, 0.3898148238658905, 0.2213541716337204, 0.42129629850387573]",False,E PineSt,box_ocr_content_ocr,12
text,"[0.2526041567325592, 0.3888888955116272, 0.3046875, 0.42129629850387573]",False,EPineSt,box_ocr_content_ocr,13
text,"[0.6822916865348816, 0.38425925374031067, 0.6979166865348816, 0.40833333134651184]",False,St,box_ocr_content_ocr,14
