type,bbox,interactivity,content,source,ID
text,"[0.05520833283662796, 0.018518518656492233, 0.11770833283662796, 0.04444444552063942]",False,Google Maps,box_ocr_content_ocr,0
text,"[0.12291666865348816, 0.07870370149612427, 0.8010416626930237, 0.10277777910232544]",False,"google.com/maps/@32.8245525-117.1089785,9z?entry=ttu&g_ep=EgoyMDI1MDMxMi4wlKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",box_ocr_content_ocr,1
text,"[0.5223958492279053, 0.15000000596046448, 0.5661458373069763, 0.1805555522441864]",False,Palomar,box_ocr_content_ocr,2
text,"[0.7807291746139526, 0.1518518477678299, 0.8463541865348816, 0.18425926566123962]",False,Desert Shores,box_ocr_content_ocr,3
text,"[0.0885416641831398, 0.16388888657093048, 0.20000000298023224, 0.18888889253139496]",False,Search GoogleMaps,box_ocr_content_ocr,4
text,"[0.5171874761581421, 0.17037037014961243, 0.567187488079071, 0.20092593133449554]",False,Mountain,box_ocr_content_ocr,5
text,"[0.8125, 0.21666666865348816, 0.862500011920929, 0.2509259283542633]",False,Salton City,box_ocr_content_ocr,6
text,"[0.08437500149011612, 0.24074074625968933, 0.14687499403953552, 0.27222222089767456]",False,This area,box_ocr_content_ocr,7
text,"[0.6968749761581421, 0.23888888955116272, 0.734375, 0.2648148238658905]",False,Borrego,box_ocr_content_ocr,8
text,"[0.9354166388511658, 0.2370370328426361, 0.9708333611488342, 0.2629629671573639]",False,Mundo,box_ocr_content_ocr,9
text,"[0.6979166865348816, 0.25740739703178406, 0.734375, 0.28333333134651184]",False,Springs,box_ocr_content_ocr,10
text,"[0.949999988079071, 0.25925925374031067, 0.984375, 0.28518518805503845]",False,Niland,box_ocr_content_ocr,11
text,"[0.4906249940395355, 0.27037036418914795, 0.5520833134651184, 0.29629629850387573]",False,Valley Center,box_ocr_content_ocr,12
text,"[0.8031250238418579, 0.27222222089767456, 0.8489583134651184, 0.29814815521240234]",False,Ocotillo,box_ocr_content_ocr,13
text,"[0.3958333432674408, 0.28518518805503845, 0.4749999940395355, 0.3083333373069763]",False,Oceanside_Vista,box_ocr_content_ocr,14
text,"[0.12083332985639572, 0.2944444417953491, 0.26354166865348816, 0.32499998807907104]",False,Light traffic in this area,box_ocr_content_ocr,15
text,"[0.41197916865348816, 0.30092594027519226, 0.45364582538604736, 0.3333333432674408]",False,Carlsbad,box_ocr_content_ocr,16
text,"[0.49270832538604736, 0.29814815521240234, 0.503125011920929, 0.3157407343387604]",False,15,box_ocr_content_ocr,17
text,"[0.793749988079071, 0.2944444417953491, 0.8572916388511658, 0.3157407343387604]",False,Wells SVRA,box_ocr_content_ocr,18
text,"[0.9520833492279053, 0.30000001192092896, 0.9854166507720947, 0.32499998807907104]",False,Estelle,box_ocr_content_ocr,19
text,"[0.621874988079071, 0.3092592656612396, 0.6354166865348816, 0.3324074149131775]",False,79,box_ocr_content_ocr,20
text,"[0.12083332985639572, 0.32870370149612427, 0.3187499940395355, 0.35277777910232544]",False,Typical conditions with delays up to 52 min,box_ocr_content_ocr,21
text,"[0.6973958611488342, 0.3231481611728668, 0.7713541388511658, 0.35462963581085205]",False,-Anza-Borrego,box_ocr_content_ocr,22
text,"[0.4833333194255829, 0.3342592716217041, 0.53125, 0.3601851761341095]",False,Escondido,box_ocr_content_ocr,23
text,"[0.9458333253860474, 0.32870370149612427, 0.9895833134651184, 0.35462963581085205]",False,Calipatria,box_ocr_content_ocr,24
text,"[0.6343749761581421, 0.35462963581085205, 0.6833333373069763, 0.38240739703178406]",False,JulianO,box_ocr_content_ocr,25
text,"[0.71875, 0.3490740656852722, 0.7562500238418579, 0.375]",False,Desert,box_ocr_content_ocr,26
text,"[0.7093750238418579, 0.3712962865829468, 0.7645833492279053, 0.39722222089767456]",False,State Park,box_ocr_content_ocr,27
text,"[0.42500001192092896, 0.3861111104488373, 0.4677083194255829, 0.41203704476356506]",False,Encinitas,box_ocr_content_ocr,28
text,"[0.5484374761581421, 0.38148146867752075, 0.5880208611488342, 0.4138889014720917]",False,Ramona,box_ocr_content_ocr,29
text,"[0.9072916507720947, 0.38425925374031067, 0.9666666388511658, 0.41018518805503845]",False,Westmorland,box_ocr_content_ocr,30
text,"[0.9453125, 0.4166666567325592, 0.9817708134651184, 0.4472222328186035]",False,Brawley,box_ocr_content_ocr,31
text,"[0.5041666626930237, 0.4305555522441864, 0.5375000238418579, 0.4555555582046509]",False,Poway,box_ocr_content_ocr,32
text,"[0.06041666492819786, 0.4592592716217041, 0.125, 0.4851851761341095]",False,San Clemente,box_ocr_content_ocr,33
text,"[0.08020833134651184, 0.47962963581085205, 0.10729166865348816, 0.5]",False,Islano,box_ocr_content_ocr,34
text,"[0.504687488079071, 0.49537035822868347, 0.5557291507720947, 0.5379629731178284]",False,Santee,box_ocr_content_ocr,35
text,"[0.6208333373069763, 0.4962962865829468, 0.668749988079071, 0.5222222208976746]",False,Descanso,box_ocr_content_ocr,36
text,"[0.9322916865348816, 0.5018518567085266, 0.9729166626930237, 0.5277777910232544]",False,Imperial,box_ocr_content_ocr,37
text,"[0.5249999761581421, 0.5333333611488342, 0.5614583492279053, 0.5592592358589172]",False,El Cajon,box_ocr_content_ocr,38
text,"[0.9010416865348816, 0.5370370149612427, 0.934374988079071, 0.5629629492759705]",False,Seeley,box_ocr_content_ocr,39
text,"[0.44739583134651184, 0.574999988079071, 0.5234375, 0.6120370626449585]",False,SanDiego,box_ocr_content_ocr,40
text,"[0.5208333134651184, 0.6064814925193787, 0.5447916388511658, 0.6287037134170532]",False,(125,box_ocr_content_ocr,41
text,"[0.9286458492279053, 0.6027777791023254, 0.9994791746139526, 0.6324074268341064]",False,9-Calexico,box_ocr_content_ocr,42
text,"[0.47604167461395264, 0.6305555701255798, 0.5416666865348816, 0.6564815044403076]",False,Chula Vista,box_ocr_content_ocr,43
text,"[0.7510416507720947, 0.6398147940635681, 0.7906249761581421, 0.6601851582527161]",False,Jacumba,box_ocr_content_ocr,44
text,"[0.9624999761581421, 0.6398147940635681, 0.9994791746139526, 0.6675925850868225]",False,Mexica,box_ocr_content_ocr,45
text,"[0.671875, 0.6527777910232544, 0.7052083611488342, 0.6731481552124023]",False,Campo,box_ocr_content_ocr,46
text,"[0.745312511920929, 0.6499999761581421, 0.7963541746139526, 0.6805555820465088]",False,Hot'Springs,box_ocr_content_ocr,47
text,"[0.6291666626930237, 0.6824073791503906, 0.6583333611488342, 0.7055555582046509]",False,Tecate,box_ocr_content_ocr,48
text,"[0.4958333373069763, 0.6925926208496094, 0.5562499761581421, 0.7259259223937988]",False,Tijuana,box_ocr_content_ocr,49
text,"[0.7041666507720947, 0.7018518447875977, 0.7645833492279053, 0.7277777791023254]",False,Colonia Luis,box_ocr_content_ocr,50
text,"[0.7755208611488342, 0.7018518447875977, 0.8359375, 0.7324073910713196]",False,La Rumorosa,box_ocr_content_ocr,51
text,"[0.7114583253860474, 0.720370352268219, 0.7645833492279053, 0.7462962865829468]",False,Echeverria,box_ocr_content_ocr,52
text,"[0.5104166865348816, 0.7472222447395325, 0.5447916388511658, 0.779629647731781]",False,La Joya,box_ocr_content_ocr,53
text,"[0.4958333373069763, 0.8037037253379822, 0.5322916507720947, 0.8231481313705444]",False,Rosarito,box_ocr_content_ocr,54
text,"[0.5302083492279053, 0.8268518447875977, 0.5520833134651184, 0.8527777791023254]",False,[201,box_ocr_content_ocr,55
text,"[0.5041666626930237, 0.8712962865829468, 0.5552083253860474, 0.8972222208976746]",False,Google,box_ocr_content_ocr,56
text,"[0.5302083492279053, 0.8916666507720947, 0.5833333134651184, 0.9120370149612427]",False,"Primo,Tapia",box_ocr_content_ocr,57
text,"[0.5510416626930237, 0.9101851582527161, 0.671875, 0.9342592358589172]",False,"Map data @2025 Go0gle, INEGI",box_ocr_content_ocr,58
text,"[0.6666666865348816, 0.9083333611488342, 0.8999999761581421, 0.9342592358589172]",False,United States Terms PrivacySend Product Feedback,box_ocr_content_ocr,59
text,"[0.903124988079071, 0.9083333611488342, 0.9354166388511658, 0.9342592358589172]",False,10 mi L,box_ocr_content_ocr,60
text,"[0.921875, 0.9518518447875977, 0.9781249761581421, 0.9777777791023254]",False,10:09,box_ocr_content_ocr,61
icon,"[0.06852152198553085, 0.7861635088920593, 0.14180684089660645, 0.9091981649398804]",True,DLayers ,box_yolo_content_ocr,62
icon,"[0.8942205309867859, 0.0632176399230957, 0.9668501019477844, 0.11812275648117065]",True,Guest ,box_yolo_content_ocr,63
icon,"[0.003137391759082675, 0.7963319420814514, 0.05317028984427452, 0.9079543948173523]",True,Get the app ,box_yolo_content_ocr,64
icon,"[0.0018002629512920976, 0.32629793882369995, 0.053403519093990326, 0.4071750342845917]",True,Recents ,box_yolo_content_ocr,65
icon,"[0.8504501581192017, 0.9354175329208374, 0.9108646512031555, 0.9924280047416687]",True,Mar 17 ,box_yolo_content_ocr,66
icon,"[0.2965489327907562, 0.14741545915603638, 0.32596340775489807, 0.20521634817123413]",True,Q ,box_yolo_content_ocr,67
icon,"[0.0035110830795019865, 0.9373593330383301, 0.03526138514280319, 0.9939351677894592]",True,O ,box_yolo_content_ocr,68
icon,"[0.311233252286911, 0.2339751422405243, 0.3344874680042267, 0.2758241295814514]",True,57o ,box_yolo_content_ocr,69
icon,"[0.004274188075214624, 0.2237500101327896, 0.05099739879369736, 0.3046216666698456]",True,Saved ,box_yolo_content_ocr,70
icon,"[0.5953405499458313, 0.16870850324630737, 0.6151849627494812, 0.20637962222099304]",True,(79 ,box_yolo_content_ocr,71
