type,bbox,interactivity,content,source,ID
text,"[0.05520833283662796, 0.018518518656492233, 0.11770833283662796, 0.04444444552063942]",False,Google Maps,box_ocr_content_ocr,0
text,"[0.12291666865348816, 0.07870370149612427, 0.7208333611488342, 0.10277777910232544]",False,"google.com/maps/@32.8245525-117.1089785,9z?entry=ttu&g_ep=EgoyMDI1MDMxMi4wlKXMDSoASAFQAw%3D%3D",box_ocr_content_ocr,1
text,"[0.5223958492279053, 0.15000000596046448, 0.5661458373069763, 0.1805555522441864]",False,Palomar,box_ocr_content_ocr,2
text,"[0.7807291746139526, 0.1518518477678299, 0.8453124761581421, 0.18425926566123962]",False,Desert Shores,box_ocr_content_ocr,3
text,"[0.08541666716337204, 0.15833333134651184, 0.20000000298023224, 0.18888889253139496]",False,Search Google Maps,box_ocr_content_ocr,4
text,"[0.5171874761581421, 0.17037037014961243, 0.567187488079071, 0.20092593133449554]",False,Mountain,box_ocr_content_ocr,5
text,"[0.864062488079071, 0.2092592567205429, 0.8848958611488342, 0.23425926268100739]",False,Sea,box_ocr_content_ocr,6
text,"[0.8125, 0.21851852536201477, 0.8635416626930237, 0.24629630148410797]",False,Salton City,box_ocr_content_ocr,7
text,"[0.08437500149011612, 0.24074074625968933, 0.14687499403953552, 0.27222222089767456]",False,This area,box_ocr_content_ocr,8
text,"[0.6968749761581421, 0.23888888955116272, 0.734375, 0.2648148238658905]",False,Borrego,box_ocr_content_ocr,9
text,"[0.9354166388511658, 0.2370370328426361, 0.9708333611488342, 0.2629629671573639]",False,Mundo,box_ocr_content_ocr,10
text,"[0.6979166865348816, 0.25740739703178406, 0.734375, 0.28333333134651184]",False,Springs,box_ocr_content_ocr,11
text,"[0.949999988079071, 0.25925925374031067, 0.984375, 0.28518518805503845]",False,Niland,box_ocr_content_ocr,12
text,"[0.4906249940395355, 0.27037036418914795, 0.5520833134651184, 0.29629629850387573]",False,Valley Center,box_ocr_content_ocr,13
text,"[0.8031250238418579, 0.27222222089767456, 0.8489583134651184, 0.29814815521240234]",False,Ocotillo,box_ocr_content_ocr,14
text,"[0.39791667461395264, 0.28703704476356506, 0.4739583432674408, 0.307407408952713]",False,Oceanside_Vista,box_ocr_content_ocr,15
