type,bbox,interactivity,content,source,ID
text,"[0.125, 0.07870370149612427, 0.8687499761581421, 0.10462962836027145]",False,gds.google.com/web/chip?cardlndex=1&hl=en&authuser=0&gdsid=999016096&continue=https%3A%2F%2Faccounts.google.com%2FServiceLogin..,box_ocr_content_ocr,0
text,"[0.19166666269302368, 0.3324074149131775, 0.39895832538604736, 0.3879629671573639]",False,You're signed in,box_ocr_content_ocr,1
text,"[0.19062499701976776, 0.41203704476356506, 0.39895832538604736, 0.4453703761100769]",False,Complete a few suggestions to get,box_ocr_content_ocr,2
text,"[0.18958333134651184, 0.4407407343387604, 0.36145833134651184, 0.4740740656852722]",False,the most out of your Google,box_ocr_content_ocr,3
text,"[0.19166666269302368, 0.4740740656852722, 0.2447916716337204, 0.5037037134170532]",False,account,box_ocr_content_ocr,4
text,"[0.21250000596046448, 0.5240740776062012, 0.40416666865348816, 0.550000011920929]",False,hiroshivalencrest8226@gmail.com,box_ocr_content_ocr,5
text,"[0.46875, 0.6768518686294556, 0.8031250238418579, 0.7018518447875977]",False,You can always manage this information in your Google Account.,box_ocr_content_ocr,6
text,"[0.1901041716337204, 0.760185182094574, 0.24010416865348816, 0.7925925850868225]",False,Not now,box_ocr_content_ocr,7
text,"[0.9208333492279053, 0.9518518447875977, 0.987500011920929, 0.9777777791023254]",False,10:334,box_ocr_content_ocr,8
icon,"[0.8943632245063782, 0.0629444420337677, 0.9666269421577454, 0.11790140718221664]",True,Guest ,box_yolo_content_ocr,9
icon,"[0.46700841188430786, 0.2554638683795929, 0.6337195038795471, 0.4419182240962982]",True,Add a home address ,box_yolo_content_ocr,10
icon,"[0.4658910632133484, 0.4561159014701843, 0.6348190307617188, 0.6389184594154358]",True,Sign up to get useful tips & updates ,box_yolo_content_ocr,11
icon,"[0.6422834396362305, 0.255629301071167, 0.8096864819526672, 0.43956077098846436]",True,Add a profile picture ,box_yolo_content_ocr,12
icon,"[0.8518442511558533, 0.9355809688568115, 0.9100704789161682, 0.991510808467865]",True,Mar 17 ,box_yolo_content_ocr,13
icon,"[0.031630706042051315, 0.003591039450839162, 0.20772385597229004, 0.05541965737938881]",True,Google Account ,box_yolo_content_ocr,14
icon,"[0.4607051908969879, 0.9378640055656433, 0.49248161911964417, 0.9990272521972656]",True,A web browser application.,box_yolo_content_yolo,15
icon,"[0.5040977597236633, 0.9384276270866394, 0.5386431813240051, 0.9974656701087952]",True,A folder or file management application.,box_yolo_content_yolo,16
icon,"[0.9489161372184753, 0.0036529952194541693, 0.9722124934196472, 0.04624570161104202]",True,a line or symbol.,box_yolo_content_yolo,17
icon,"[0.975629448890686, 0.003607292892411351, 0.9961826205253601, 0.04694260656833649]",True,a close or cancel function.,box_yolo_content_yolo,18
icon,"[0.9243194460868835, 0.010020415298640728, 0.9461349248886108, 0.048586294054985046]",True,a single line or rectangle.,box_yolo_content_yolo,19
icon,"[0.006317269988358021, 0.06840553879737854, 0.030134744942188263, 0.1141975075006485]",True,"the ""back"" function.",box_yolo_content_yolo,20
icon,"[0.06466426700353622, 0.06836891174316406, 0.08881568908691406, 0.1145254373550415]",True,Refresh or reload.,box_yolo_content_yolo,21
icon,"[0.97211092710495, 0.06767192482948303, 0.9923852682113647, 0.11406958103179932]",True,a button for selecting a color.,box_yolo_content_yolo,22
icon,"[0.19873125851154327, 0.016350628808140755, 0.21523356437683105, 0.046137485653162]",True,A close or delete function.,box_yolo_content_yolo,23
icon,"[0.035761408507823944, 0.06880110502243042, 0.05803298205137253, 0.11354048550128937]",True,a push pin or arrow.,box_yolo_content_yolo,24
icon,"[0.003934317734092474, 0.006083986721932888, 0.0279250331223011, 0.051950592547655106]",True,a checkmark or symbol indicating a positive or positive action.,box_yolo_content_yolo,25
icon,"[0.0037967711687088013, 0.9367237091064453, 0.03521483391523361, 0.9926764369010925]",True,a single circle or indent.,box_yolo_content_yolo,26
icon,"[0.22547392547130585, 0.01195525098592043, 0.2434156835079193, 0.04849870502948761]",True,Adding a new item or creating a new symbol.,box_yolo_content_yolo,27
icon,"[0.7137272357940674, 0.6699150800704956, 0.800788938999176, 0.7028337121009827]",True,Google Account,box_yolo_content_yolo,28
icon,"[0.10180308669805527, 0.07584728300571442, 0.11901672184467316, 0.10908995568752289]",True,a button for a speaker or audio.,box_yolo_content_yolo,29
icon,"[0.9715524911880493, 0.9396342039108276, 0.9911699295043945, 0.9900200963020325]",True,a profile or icon.,box_yolo_content_yolo,30
icon,"[0.9550254940986633, 0.9399160146713257, 0.9717499017715454, 0.9899261593818665]",True,a low profile or profile indicator.,box_yolo_content_yolo,31
