type,bbox,interactivity,content,source,ID
text,"[0.05416666716337204, 0.014814814552664757, 0.19479165971279144, 0.04259259253740311]",False,1517 12th Ave #407-Google M,box_ocr_content_ocr,0
text,"[0.12291666865348816, 0.07500000298023224, 0.8708333373069763, 0.10462962836027145]",False,"google.com/maps/place/1517+12th+Ave+%23407,+Seattle+WA+98122/@47.6146017-122.3198293,17z/data=13m1!4b1!4m5!3m4!1s0x54906acd..",box_ocr_content_ocr,1
text,"[0.4104166626930237, 0.16203702986240387, 0.4958333373069763, 0.18981482088565826]",False,41Restaurants,box_ocr_content_ocr,2
text,"[0.5104166865348816, 0.1675925999879837, 0.5697916746139526, 0.18703703582286835]",False,IHotels,box_ocr_content_ocr,3
text,"[0.17083333432674408, 0.16944444179534912, 0.2239583283662796, 0.1944444477558136]",False,E-Olive-St,box_ocr_content_ocr,4
text,"[0.0, 0.17314815521240234, 0.03958333283662796, 0.19814814627170563]",False,OliveSt,box_ocr_content_ocr,5
text,"[0.27291667461395264, 0.192592591047287, 0.3125, 0.21851852536201477]",False,Creative,box_ocr_content_ocr,6
text,"[0.4515624940395355, 0.2074074000120163, 0.5484374761581421, 0.25]",False,Add a place,box_ocr_content_ocr,7
text,"[0.2874999940395355, 0.2925925850868225, 0.45520833134651184, 0.32499998807907104]",False,How your edits are used,box_ocr_content_ocr,8
text,"[0.0, 0.317592591047287, 0.04583333432674408, 0.34351852536201477]",False,Ramen &,box_ocr_content_ocr,9
text,"[0.0052083334885537624, 0.33796295523643494, 0.06979166716337204, 0.3638888895511627]",False,|Capitol Hill,box_ocr_content_ocr,10
text,"[0.2906250059604645, 0.35462963581085205, 0.668749988079071, 0.38055557012557983]",False,Changes based on your edits may appear across Google services,box_ocr_content_ocr,11
text,"[0.0020833334419876337, 0.3731481432914734, 0.0364583320915699, 0.39351850748062134]",False,Ramen,box_ocr_content_ocr,12
text,"[0.8770833611488342, 0.36759260296821594, 0.9979166388511658, 0.3916666805744171]",False,Kedai.MakanCapitol-Hill,box_ocr_content_ocr,13
text,"[0.16510416567325592, 0.3888888955116272, 0.21718749403953552, 0.42129629850387573]",False,E Pine St.,box_ocr_content_ocr,14
