type,bbox,interactivity,content,source,ID
text,"[0.05624999850988388, 0.018518518656492233, 0.1927083283662796, 0.04259259253740311]",False,151712th Ave #407-Go0gle M,box_ocr_content_ocr,0
text,"[0.8770833611488342, 0.36759260296821594, 0.9989583492279053, 0.39351850748062134]",False,Kedal Makan-Capitol Hill,box_ocr_content_ocr,1
text,"[0.4541666805744171, 0.3861111104488373, 0.5041666626930237, 0.41203704476356506]",False,EPineSt,box_ocr_content_ocr,2
text,"[0.5510416626930237, 0.3879629671573639, 0.5989583134651184, 0.40833333134651184]",False,EPineSt,box_ocr_content_ocr,3
text,"[0.6468750238418579, 0.38425925374031067, 0.6979166865348816, 0.41018518805503845]",False,E PineSt,box_ocr_content_ocr,4
text,"[0.7489583492279053, 0.38425925374031067, 0.7989583611488342, 0.41018518805503845]",False,EPineSt,box_ocr_content_ocr,5
text,"[0.957812488079071, 0.3870370388031006, 0.9984375238418579, 0.41203704476356506]",False,Malaysian,box_ocr_content_ocr,6
text,"[0.5249999761581421, 0.4287036955356598, 0.59375, 0.45370370149612427]",False,Five Iron Golf,box_ocr_content_ocr,7
text,"[0.5416666865348816, 0.4481481611728668, 0.5927083492279053, 0.46851852536201477]",False,The Ultimate,box_ocr_content_ocr,8
text,"[0.5447916388511658, 0.46481481194496155, 0.5927083492279053, 0.4851851761341095]",False,Party Venue,box_ocr_content_ocr,9
text,"[0.5552083253860474, 0.49074074625968933, 0.6354166865348816, 0.5129629373550415]",False,Glossier Seattle,box_ocr_content_ocr,10
text,"[0.5552083253860474, 0.5074074268341064, 0.5864583253860474, 0.5277777910232544]",False,Official,box_ocr_content_ocr,11
text,"[0.5541666746139526, 0.520370364189148, 0.6135416626930237, 0.5407407283782959]",False,GlossierSite,box_ocr_content_ocr,12
text,"[0.8260416388511658, 0.5462962985038757, 0.9010416865348816, 0.5712962746620178]",False,Public Storage,box_ocr_content_ocr,13
text,"[0.824999988079071, 0.5657407641410828, 0.8864583373069763, 0.5916666388511658]",False,Reserve a Unit,box_ocr_content_ocr,14
text,"[0.8244791626930237, 0.5787037014961243, 0.8869791626930237, 0.6083333492279053]",False,Close to Home,box_ocr_content_ocr,15
text,"[0.8531249761581421, 0.6120370626449585, 0.903124988079071, 0.6379629373550415]",False,E Pike St,box_ocr_content_ocr,16
text,"[0.4177083373069763, 0.6305555701255798, 0.46875, 0.6509259343147278]",False,Starbucks,box_ocr_content_ocr,17
text,"[0.4177083373069763, 0.6472222208976746, 0.4749999940395355, 0.6694444417953491]",False,The Starbucks,box_ocr_content_ocr,18
text,"[0.41614583134651184, 0.6592592597007751, 0.48489582538604736, 0.6898148059844971]",False,Coffee Company,box_ocr_content_ocr,19
