type,bbox,interactivity,content,source,ID
text,"[0.125, 0.07870370149612427, 0.8687499761581421, 0.10462962836027145]",False,accounts.google.com/v3/signin/challenge/pwd?TL=ADBLaQDgq-ZZV95TgfaEPch5CyJYG-NZoxtK6l7_40x1kTs0EIRxNxOtipE6oexj&checkConnectio..,box_ocr_content_ocr,0
text,"[0.19062499701976776, 0.36759260296821594, 0.3166666626930237, 0.4138889014720917]",False,Hi Hiroshi,box_ocr_content_ocr,1
text,"[0.5291666388511658, 0.4194444417953491, 0.621874988079071, 0.442592591047287]",False,Enter your password,box_ocr_content_ocr,2
text,"[0.171875, 0.7907407283782959, 0.2770833373069763, 0.8157407641410828]",False,English (United States),box_ocr_content_ocr,3
text,"[0.692187488079071, 0.7861111164093018, 0.7171875238418579, 0.8203703761100769]",False,Help,box_ocr_content_ocr,4
text,"[0.7369791865348816, 0.7861111164093018, 0.7755208611488342, 0.8185185194015503]",False,Privacy,box_ocr_content_ocr,5
text,"[0.7958333492279053, 0.7907407283782959, 0.8302083611488342, 0.8157407641410828]",False,Terms,box_ocr_content_ocr,6
icon,"[0.8943151235580444, 0.06293512880802155, 0.9666208028793335, 0.11800426989793777]",True,Guest ,box_yolo_content_ocr,7
icon,"[0.8574234843254089, 0.9356362223625183, 0.9163618683815002, 0.9916084408760071]",True,Mar 17 ,box_yolo_content_ocr,8
icon,"[0.7406587600708008, 0.646378755569458, 0.8159063458442688, 0.7117513418197632]",True,Next ,box_yolo_content_ocr,9
icon,"[0.03189368173480034, 0.004070356022566557, 0.2028447836637497, 0.056190066039562225]",True,Google Maps ,box_yolo_content_ocr,10
icon,"[0.5177808403968811, 0.5204315185546875, 0.6372960209846497, 0.5526504516601562]",True,Show password ,box_yolo_content_ocr,11
icon,"[0.9191036224365234, 0.9361799359321594, 0.9927539825439453, 0.9905568361282349]",True,1:024 ,box_yolo_content_ocr,12
icon,"[0.18474645912647247, 0.44408348202705383, 0.43038827180862427, 0.4969802796840668]",True,hiroshivalencrest8226@gmail.com ,box_yolo_content_ocr,13
icon,"[0.6039143204689026, 0.6453138589859009, 0.727172315120697, 0.7135574817657471]",True,Forgot password? ,box_yolo_content_ocr,14
icon,"[0.5028189420700073, 0.9385720491409302, 0.5391461253166199, 0.9969302415847778]",True,A folder or file management application.,box_yolo_content_yolo,15
icon,"[0.4598909318447113, 0.9375476241111755, 0.49361610412597656, 0.9990960955619812]",True,A web browser application.,box_yolo_content_yolo,16
icon,"[0.9484685659408569, 0.003160937689244747, 0.9726969003677368, 0.046683523803949356]",True,a line or form indicator.,box_yolo_content_yolo,17
icon,"[0.9747143387794495, 0.002593263052403927, 0.9971619248390198, 0.04741590470075607]",True,a close or cancel function.,box_yolo_content_yolo,18
icon,"[0.9711410403251648, 0.06510711461305618, 0.9938457608222961, 0.11634254455566406]",True,a button for selecting a button,box_yolo_content_yolo,19
icon,"[0.06395156681537628, 0.06718242168426514, 0.08918769657611847, 0.11506575345993042]",True,Refresh or reload.,box_yolo_content_yolo,20
icon,"[0.00568260857835412, 0.0673912987112999, 0.030882257968187332, 0.11491638422012329]",True,the back arrow.,box_yolo_content_yolo,21
icon,"[0.923991858959198, 0.00880507379770279, 0.9467724561691284, 0.04853948950767517]",True,a single line or pinning.,box_yolo_content_yolo,22
icon,"[0.03482794016599655, 0.06742364168167114, 0.05908394232392311, 0.11406387388706207]",True,a push pin or arrow.,box_yolo_content_yolo,23
icon,"[0.19853226840496063, 0.01538125704973936, 0.2153715342283249, 0.046768806874752045]",True,A close or delete function.,box_yolo_content_yolo,24
icon,"[0.0037186802364885807, 0.0057962206192314625, 0.027966897934675217, 0.05186940357089043]",True,a checkmark or symbol indicating a positive or positive action.,box_yolo_content_yolo,25
icon,"[0.0038089812733232975, 0.9371656775474548, 0.03515996038913727, 0.9925984740257263]",True,a single circle or indent.,box_yolo_content_yolo,26
icon,"[0.22563062608242035, 0.011565038934350014, 0.24324314296245575, 0.04814103618264198]",True,Adding a new item or creating a new symbol.,box_yolo_content_yolo,27
icon,"[0.2937925457954407, 0.7810648679733276, 0.3145830035209656, 0.8202500939369202]",True,a low profile or profile indicator.,box_yolo_content_yolo,28
icon,"[0.3168724477291107, 0.7750198245048523, 0.33830198645591736, 0.8162223100662231]",True,a bookmark or bookmark function.,box_yolo_content_yolo,29
icon,"[0.10111956298351288, 0.07632902264595032, 0.11911378055810928, 0.10873669385910034]",True,a button for filling a line or form.,box_yolo_content_yolo,30
icon,"[0.5255559682846069, 0.448958158493042, 0.5387685894966125, 0.4937129318714142]",True,a line or pinning tool.,box_yolo_content_yolo,31
