type,bbox,interactivity,content,source,ID
text,"[0.125, 0.07870370149612427, 0.8687499761581421, 0.10462962836027145]",False,gds.google.com/web/recoveryoptions?cardlndex=0&hl=en&authuser=0&gdsid=999016096&continue=https%3A%2F%2Faccounts.google.com%2FS..,box_ocr_content_ocr,0
text,"[0.5447916388511658, 0.2907407283782959, 0.6635416746139526, 0.32407405972480774]",False,Add a recovery phone,box_ocr_content_ocr,1
text,"[0.606249988079071, 0.33796295523643494, 0.6604166626930237, 0.3583333194255829]",False,Enter phone,box_ocr_content_ocr,2
text,"[0.19166666269302368, 0.35462963581085205, 0.47187501192092896, 0.39907407760620117]",False,Recovery information,box_ocr_content_ocr,3
text,"[0.18958333134651184, 0.43611112236976624, 0.4479166567325592, 0.4611110985279083]",False,Verify your phone number and email so that,box_ocr_content_ocr,4
text,"[0.1875, 0.46481481194496155, 0.46875, 0.4962962865829468]",False,Google can help you if you forget the password,box_ocr_content_ocr,5
text,"[0.18854166567325592, 0.5018518567085266, 0.359375, 0.5314815044403076]",False,to your account. Learn more,box_ocr_content_ocr,6
text,"[0.20729166269302368, 0.5574073791503906, 0.4010416567325592, 0.5824074149131775]",False,hiroshivalencrest8226@gmail.com,box_ocr_content_ocr,7
text,"[0.53125, 0.5972222089767456, 0.6895833611488342, 0.6231481432914734]",False,Use an email that is different from,box_ocr_content_ocr,8
text,"[0.5302083492279053, 0.6138888597488403, 0.6958333253860474, 0.6472222208976746]",False,"hiroshivalencrest8226@gmail.com""",box_ocr_content_ocr,9
icon,"[0.8943720459938049, 0.06326586753129959, 0.9665579199790955, 0.11791114509105682]",True,Guest ,box_yolo_content_ocr,10
icon,"[0.5155547857284546, 0.5109689831733704, 0.8146543502807617, 0.5967574715614319]",True,Enter recovery email ,box_yolo_content_ocr,11
icon,"[0.8518034219741821, 0.9355314373970032, 0.9102121591567993, 0.9916596412658691]",True,Mar 17 ,box_yolo_content_ocr,12
icon,"[0.742816150188446, 0.6903903484344482, 0.8127548098564148, 0.7585620284080505]",True,Save ,box_yolo_content_ocr,13
icon,"[0.03248016908764839, 0.005000660195946693, 0.18024136126041412, 0.053979724645614624]",True,Account Recovery Options ,box_yolo_content_ocr,14
icon,"[0.9121257662773132, 0.9362908005714417, 0.9922674298286438, 0.9912407994270325]",True,10:334 ,box_yolo_content_ocr,15
icon,"[0.5148988962173462, 0.45116356015205383, 0.6600137948989868, 0.49187350273132324]",True,Add a recovery email ,box_yolo_content_ocr,16
icon,"[0.6773701310157776, 0.7030977010726929, 0.7357140183448792, 0.7372680902481079]",True,Cancel ,box_yolo_content_ocr,17
icon,"[0.5904043316841125, 0.34470054507255554, 0.8159378170967102, 0.43298041820526123]",True,"the ""Refresh"" function.",box_yolo_content_yolo,18
icon,"[0.5161911845207214, 0.3432810604572296, 0.5890171527862549, 0.43250158429145813]",True,a bookmark or bookmark function.,box_yolo_content_yolo,19
icon,"[0.46021270751953125, 0.9377163648605347, 0.4933469891548157, 0.9991750121116638]",True,A web browser application.,box_yolo_content_yolo,20
icon,"[0.9485167264938354, 0.003276787931099534, 0.9725243449211121, 0.04676155373454094]",True,a line or form indicator.,box_yolo_content_yolo,21
icon,"[0.5033713579177856, 0.9380317330360413, 0.5386886596679688, 0.9982733726501465]",True,a folder or file management application.,box_yolo_content_yolo,22
icon,"[0.00583973852917552, 0.06762001663446426, 0.030597222968935966, 0.11505044251680374]",True,"the ""back"" function.",box_yolo_content_yolo,23
icon,"[0.9747250080108643, 0.0027208116371184587, 0.9972859025001526, 0.047609295696020126]",True,a close or cancel function.,box_yolo_content_yolo,24
icon,"[0.06435706466436386, 0.06751948595046997, 0.08890019357204437, 0.11496029049158096]",True,Refresh or reload.,box_yolo_content_yolo,25
icon,"[0.9711953997612, 0.06465848535299301, 0.993857741355896, 0.11669532209634781]",True,a button for selecting a button,box_yolo_content_yolo,26
icon,"[0.035090867429971695, 0.06750389188528061, 0.058768585324287415, 0.11397919803857803]",True,a push pin or arrow.,box_yolo_content_yolo,27
icon,"[0.9241838455200195, 0.009388033300638199, 0.946285605430603, 0.04839940741658211]",True,a single line or rectangle.,box_yolo_content_yolo,28
icon,"[0.003903853241354227, 0.006029966287314892, 0.027930378913879395, 0.051668792963027954]",True,a checkmark or symbol indicating a task or function.,box_yolo_content_yolo,29
icon,"[0.19838857650756836, 0.01573340594768524, 0.21577373147010803, 0.048496756702661514]",True,A close or delete function.,box_yolo_content_yolo,30
icon,"[0.22540287673473358, 0.01209247950464487, 0.24334006011486053, 0.04838315024971962]",True,Adding a new item or creating a new message.,box_yolo_content_yolo,31
icon,"[0.003793364856392145, 0.9372400641441345, 0.035137079656124115, 0.9924490451812744]",True,a single circle or indent.,box_yolo_content_yolo,32
icon,"[0.10060954093933105, 0.07600636035203934, 0.11977069079875946, 0.10900866240262985]",True,a button for filling a line or form.,box_yolo_content_yolo,33
