type,bbox,interactivity,content,source,ID
text,"[0.125, 0.07870370149612427, 0.871874988079071, 0.10462962836027145]",False,accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.go0gle.com%2Fmaps%2F%4032.8245525%2C-117.1089785%2C9z%3F..,box_ocr_content_ocr,0
text,"[0.5260416865348816, 0.3472222089767456, 0.6000000238418579, 0.3731481432914734]",False,Email or phone,box_ocr_content_ocr,1
text,"[0.19062499701976776, 0.3620370328426361, 0.2760416567325592, 0.4009259343147278]",False,Sign in,box_ocr_content_ocr,2
text,"[0.18854166567325592, 0.43888887763023376, 0.3531250059604645, 0.46481481194496155]",False,to continue to Google Maps,box_ocr_content_ocr,3
text,"[0.518750011920929, 0.45370370149612427, 0.5958333611488342, 0.47962963581085205]",False,Forgot email?,box_ocr_content_ocr,4
text,"[0.518750011920929, 0.5462962985038757, 0.8072916865348816, 0.5712962746620178]",False,Not your computer?Use Guest mode to sign in privately.,box_ocr_content_ocr,5
text,"[0.17291666567325592, 0.8037037253379822, 0.2770833373069763, 0.8287037014961243]",False,English (United States),box_ocr_content_ocr,6
text,"[0.6916666626930237, 0.8037037253379822, 0.71875, 0.8305555582046509]",False,Help,box_ocr_content_ocr,7
text,"[0.737500011920929, 0.8037037253379822, 0.7760416865348816, 0.8305555582046509]",False,Privacy,box_ocr_content_ocr,8
text,"[0.7958333492279053, 0.8037037253379822, 0.8291666507720947, 0.8305555582046509]",False,Terms,box_ocr_content_ocr,9
icon,"[0.8942996859550476, 0.06291645765304565, 0.9667381048202515, 0.11802931874990463]",True,Guest ,box_yolo_content_ocr,10
icon,"[0.850918173789978, 0.9345551133155823, 0.9107181429862976, 0.9914259314537048]",True,Mar 17 ,box_yolo_content_ocr,11
icon,"[0.7412113547325134, 0.6587831377983093, 0.8137956857681274, 0.7213656902313232]",True,Next ,box_yolo_content_ocr,12
icon,"[0.03183550760149956, 0.003929795231670141, 0.20181885361671448, 0.05599496513605118]",True,Google Maps ,box_yolo_content_ocr,13
icon,"[0.6125085949897766, 0.657459557056427, 0.7322470545768738, 0.7228619456291199]",True,Create account ,box_yolo_content_ocr,14
icon,"[0.9114185571670532, 0.9347939491271973, 0.9940410852432251, 0.991322934627533]",True,10:244 ,box_yolo_content_ocr,15
icon,"[0.5148547887802124, 0.5708827972412109, 0.7245945334434509, 0.6017428636550903]",True,Learn more about using Guest mode ,box_yolo_content_ocr,16
icon,"[0.5149480700492859, 0.3567667603492737, 0.8145023584365845, 0.4444325864315033]",True,a line or measurement tool.,box_yolo_content_yolo,17
icon,"[0.46003323793411255, 0.9376456141471863, 0.4932824969291687, 0.9995918273925781]",True,A web browser application.,box_yolo_content_yolo,18
icon,"[0.5031099915504456, 0.9383125901222229, 0.5389383435249329, 0.9968724250793457]",True,A folder or file management application.,box_yolo_content_yolo,19
icon,"[0.948581337928772, 0.0034493354614824057, 0.9725494384765625, 0.04656507819890976]",True,a line or form indicator.,box_yolo_content_yolo,20
icon,"[0.974917471408844, 0.003094201674684882, 0.9969872236251831, 0.047220516949892044]",True,a close or cancel function.,box_yolo_content_yolo,21
icon,"[0.03527771681547165, 0.06866148114204407, 0.058941520750522614, 0.1135193482041359]",True,"the ""Left"" function.",box_yolo_content_yolo,22
icon,"[0.003584203077480197, 0.9366742372512817, 0.035301920026540756, 0.9926807284355164]",True,The element element in a user interface.,box_yolo_content_yolo,23
icon,"[0.005945530720055103, 0.06804029643535614, 0.030609000474214554, 0.11421585083007812]",True,the back arrow.,box_yolo_content_yolo,24
icon,"[0.0644640102982521, 0.06835804134607315, 0.08905690163373947, 0.11431753635406494]",True,Refresh or reload.,box_yolo_content_yolo,25
icon,"[0.9712374210357666, 0.06544608622789383, 0.9936711192131042, 0.11596692353487015]",True,a button for selecting a button,box_yolo_content_yolo,26
icon,"[0.9241783618927002, 0.00936772022396326, 0.9464995265007019, 0.04862309619784355]",True,a single line or bar.,box_yolo_content_yolo,27
icon,"[0.19881919026374817, 0.016380712389945984, 0.2151859700679779, 0.045896466821432114]",True,A close or delete function.,box_yolo_content_yolo,28
icon,"[0.0037378519773483276, 0.005853869952261448, 0.02792874537408352, 0.05194200947880745]",True,a checkmark or symbol indicating a positive or positive action.,box_yolo_content_yolo,29
icon,"[0.2256997525691986, 0.012375831604003906, 0.24306806921958923, 0.04802198335528374]",True,Adding a new item or creating a new message.,box_yolo_content_yolo,30
icon,"[0.2919732928276062, 0.7925655841827393, 0.31575217843055725, 0.8409799933433533]",True,a low profile or profile indicator.,box_yolo_content_yolo,31
icon,"[0.10131362080574036, 0.07676295191049576, 0.11889176815748215, 0.10834084451198578]",True,a button for filling a line or form.,box_yolo_content_yolo,32
icon,"[0.0, 0.825946033000946, 0.01107447873800993, 0.8617482781410217]",True,a profile or icon.,box_yolo_content_yolo,33
