type,bbox,interactivity,content,source,ID
text,"[0.1145833358168602, 0.2944444417953491, 0.328125, 0.3324074149131775]",False,Browse as a Guest,box_ocr_content_ocr,0
text,"[0.45520833134651184, 0.2907407283782959, 0.5645833611488342, 0.3157407343387604]",False,Terms and conditions,box_ocr_content_ocr,1
text,"[0.45520833134651184, 0.3231481611728668, 0.8770833611488342, 0.3490740656852722]",False,I have read and agree to the Google Terms of Service Chrome and ChromeOS Additional,box_ocr_content_ocr,2
text,"[0.45520833134651184, 0.4194444417953491, 0.8416666388511658, 0.442592591047287]",False,Send diagnostic and usage data. Help improve Chrome and ChromeOS features,box_ocr_content_ocr,3
text,"[0.45520833134651184, 0.4481481611728668, 0.828125, 0.4722222089767456]",False,and performance by automatically sending crash reports as well as diagnostic,box_ocr_content_ocr,4
text,"[0.45520833134651184, 0.47592592239379883, 0.800000011920929, 0.5018518567085266]",False,and usage data to Google.Learn more about diagnostic and usage data,box_ocr_content_ocr,5
text,"[0.8994791507720947, 0.9444444179534912, 0.9880208373069763, 0.9814814925193787]",False,10:06US4,box_ocr_content_ocr,6
icon,"[0.8316494226455688, 0.935901939868927, 0.8899627923965454, 0.9916483759880066]",True,Mar 17 ,box_yolo_content_ocr,7
icon,"[0.7368486523628235, 0.7713426947593689, 0.8882436752319336, 0.8209249377250671]",True,Accept and continue ,box_yolo_content_ocr,8
icon,"[0.45234692096710205, 0.34885746240615845, 0.537341296672821, 0.3772352337837219]",True,Terms of Service. ,box_yolo_content_ocr,9
icon,"[0.10741005092859268, 0.1115921214222908, 0.15960972011089325, 0.14556169509887695]",True,<Back ,box_yolo_content_ocr,10
icon,"[0.9719924926757812, 0.9433786869049072, 0.9898315668106079, 0.989036500453949]",True,a profile or icon.,box_yolo_content_yolo,11
icon,"[0.8573786020278931, 0.44053590297698975, 0.889756977558136, 0.4829573333263397]",True,a blue circle.,box_yolo_content_yolo,12
icon,"[0.11045710742473602, 0.1999540477991104, 0.15299583971500397, 0.23562858998775482]",True,a switching or switching tool.,box_yolo_content_yolo,13
