type,bbox,interactivity,content,source,ID
text,"[0.05520833283662796, 0.014814814552664757, 0.19479165971279144, 0.04259259253740311]",False,1517 12th Ave #407-Google M,box_ocr_content_ocr,0
text,"[0.12291666865348816, 0.07500000298023224, 0.8697916865348816, 0.10462962836027145]",False,"google.com/maps/place/1517+12th+Ave+%23407,+Seattle+WA+98122/@47.6146017-122.3198293,17z/data=13m1!4b1!4m5!3m4!1s0x54906acd..",box_ocr_content_ocr,1
text,"[0.17083333432674408, 0.16944444179534912, 0.2239583283662796, 0.1944444477558136]",False,E-Olive-St,box_ocr_content_ocr,2
text,"[0.0, 0.17314815521240234, 0.03958333283662796, 0.19814814627170563]",False,OliveSt,box_ocr_content_ocr,3
text,"[0.2927083373069763, 0.17870371043682098, 0.31562501192092896, 0.19814814627170563]",False,Seat,box_ocr_content_ocr,4
text,"[0.27291667461395264, 0.192592591047287, 0.3125, 0.21851852536201477]",False,Creative,box_ocr_content_ocr,5
text,"[0.453125, 0.21296297013759613, 0.5489583611488342, 0.24629630148410797]",False,Add a place,box_ocr_content_ocr,6
text,"[0.3375000059604645, 0.27407407760620117, 0.4166666567325592, 0.30000001192092896]",False,Place details,box_ocr_content_ocr,7
text,"[0.33645832538604736, 0.3037036955356598, 0.6385416388511658, 0.3305555582046509]",False,Provide some information about this place.If this place is,box_ocr_content_ocr,8
text,"[0.0, 0.317592591047287, 0.04583333432674408, 0.34351852536201477]",False,Ramen &,box_ocr_content_ocr,9
text,"[0.0, 0.33796295523643494, 0.07187499850988388, 0.3638888895511627]",False,|Capitol Hill |,box_ocr_content_ocr,10
text,"[0.3375000059604645, 0.3342592716217041, 0.53125, 0.3601851761341095]",False,"added to Maps, it will appear publicly.",box_ocr_content_ocr,11
text,"[0.0010416667209938169, 0.3731481432914734, 0.0364583320915699, 0.39351850748062134]",False,Ramen,box_ocr_content_ocr,12
text,"[0.8770833611488342, 0.36759260296821594, 0.9979166388511658, 0.39351850748062134]",False,Kedai MakanCapitol Hill,box_ocr_content_ocr,13
text,"[0.16093750298023224, 0.3898148238658905, 0.22031250596046448, 0.42129629850387573]",False,E PineSt,box_ocr_content_ocr,14
text,"[0.2526041567325592, 0.3888888955116272, 0.3046875, 0.42129629850387573]",False,EPineSt,box_ocr_content_ocr,15
text,"[0.6833333373069763, 0.38425925374031067, 0.6979166865348816, 0.40833333134651184]",False,St,box_ocr_content_ocr,16
text,"[0.7489583492279053, 0.38425925374031067, 0.7989583611488342, 0.41018518805503845]",False,E PineSt,box_ocr_content_ocr,17
text,"[0.0010416667209938169, 0.39537036418914795, 0.12291666865348816, 0.42129629850387573]",False,NEKO.Cat Cafe Seattle,box_ocr_content_ocr,18
text,"[0.9567708373069763, 0.3870370388031006, 0.9963541626930237, 0.41203704476356506]",False,Malaysiar,box_ocr_content_ocr,19
text,"[0.18437500298023224, 0.42500001192092896, 0.2645833194255829, 0.44999998807907104]",False,AVA Capitol Hill,box_ocr_content_ocr,20
text,"[0.18541666865348816, 0.44999998807907104, 0.265625, 0.46851852536201477]",False,Apartmentsfor Rent,box_ocr_content_ocr,21
text,"[0.18437500298023224, 0.46296295523643494, 0.26770833134651184, 0.4870370328426361]",False,in Washington |Ava...,box_ocr_content_ocr,22
text,"[0.3499999940395355, 0.5351851582527161, 0.47083333134651184, 0.5657407641410828]",False,Category (required)*,box_ocr_content_ocr,23
text,"[0.8255208134651184, 0.5416666865348816, 0.9005208611488342, 0.5722222328186035]",False,Public Storage,box_ocr_content_ocr,24
text,"[0.28854167461395264, 0.5629629492759705, 0.3187499940395355, 0.5898148417472839]",False,Broad,box_ocr_content_ocr,25
text,"[0.8260416388511658, 0.5657407641410828, 0.8864583373069763, 0.5916666388511658]",False,Reserve a Unit,box_ocr_content_ocr,26
text,"[0.8255208134651184, 0.5787037014961243, 0.8869791626930237, 0.6083333492279053]",False,Close to Home,box_ocr_content_ocr,27
text,"[0.17499999701976776, 0.6101852059364319, 0.27916666865348816, 0.6361111402511597]",False,Biang Biang Noodles,box_ocr_content_ocr,28
text,"[0.8526041507720947, 0.6083333492279053, 0.9026041626930237, 0.6398147940635681]",False,E Pike St,box_ocr_content_ocr,29
text,"[0.0, 0.6194444298744202, 0.04895833507180214, 0.645370364189148]",False,E Pike St,box_ocr_content_ocr,30
text,"[0.08645833283662796, 0.6175925731658936, 0.13958333432674408, 0.6435185074806213]",False,E Pike St,box_ocr_content_ocr,31
