type,bbox,interactivity,content,source,ID
text,"[0.0494791679084301, 0.012037036940455437, 0.09739582985639572, 0.04444444552063942]",False,New Tab,box_ocr_content_ocr,0
text,"[0.36770832538604736, 0.2629629671573639, 0.6343749761581421, 0.3055555522441864]",False,You're browsing as a Guest.,box_ocr_content_ocr,1
text,"[0.3333333432674408, 0.34166666865348816, 0.65625, 0.36759260296821594]",False,Pages you view in this window won't appear in the browser history,box_ocr_content_ocr,2
text,"[0.3322916626930237, 0.36759260296821594, 0.6427083611488342, 0.39537036418914795]",False,"and they wont leave other traces like cookies, on the computer",box_ocr_content_ocr,3
text,"[0.3333333432674408, 0.39907407760620117, 0.6520833373069763, 0.42500001192092896]",False,after you sign out.Files you download and bookmarks you create,box_ocr_content_ocr,4
text,"[0.3333333432674408, 0.4305555522441864, 0.4885416626930237, 0.4555555582046509]",False,won't be preserved.Learn more,box_ocr_content_ocr,5
text,"[0.7192708253860474, 0.49444442987442017, 0.8005208373069763, 0.5314815044403076]",False,Pixel 6a Proje...,box_ocr_content_ocr,6
text,"[0.7197916507720947, 0.5212963223457336, 0.7552083134651184, 0.5537037253379822]",False,Strong,box_ocr_content_ocr,7
text,"[0.7208333611488342, 0.6027777791023254, 0.7739583253860474, 0.6287037134170532]",False,nRF52HID,box_ocr_content_ocr,8
text,"[0.7203124761581421, 0.625, 0.7744791507720947, 0.6564815044403076]",False,Connected,box_ocr_content_ocr,9
text,"[0.7223958373069763, 0.6814814805984497, 0.7796875238418579, 0.7157407402992249]",False,Shut down,box_ocr_content_ocr,10
text,"[0.7229166626930237, 0.7351852059364319, 0.7645833492279053, 0.7629629373550415]",False,Restart,box_ocr_content_ocr,11
text,"[0.7229166626930237, 0.7870370149612427, 0.7697916626930237, 0.8138889074325562]",False,Sign out,box_ocr_content_ocr,12
text,"[0.8822916746139526, 0.8620370626449585, 0.940625011920929, 0.8879629373550415]",False,Battery full,box_ocr_content_ocr,13
icon,"[0.8943601846694946, 0.06253007799386978, 0.9667638540267944, 0.11847246438264847]",True,Guest ,box_yolo_content_ocr,14
icon,"[0.9091711044311523, 0.474348783493042, 0.9825690984725952, 0.5713067054748535]",True,Do Not Disturb ,box_yolo_content_ocr,15
icon,"[0.8344828486442566, 0.4745001196861267, 0.905735433101654, 0.5714607834815979]",True,Screen capture ,box_yolo_content_ocr,16
icon,"[0.856864333152771, 0.935559093952179, 0.9163416028022766, 0.9921464920043945]",True,Mar 18 ,box_yolo_content_ocr,17
icon,"[0.916926383972168, 0.9356021881103516, 0.995897114276886, 0.9909483790397644]",True,3:39 ,box_yolo_content_ocr,18
icon,"[0.7313365936279297, 0.8482754230499268, 0.8087970614433289, 0.8991865515708923]",True,Exit guest ,box_yolo_content_ocr,19
icon,"[0.836490273475647, 0.5999501943588257, 0.9634691476821899, 0.6533571481704712]",True,Cast screen ,box_yolo_content_ocr,20
icon,"[0.5018966794013977, 0.9361814856529236, 0.5404081344604492, 0.9981870055198669]",True,A folder or file management application.,box_yolo_content_yolo,21
icon,"[0.45983773469924927, 0.9363746047019958, 0.49402713775634766, 0.9998158812522888]",True,A web browser application.,box_yolo_content_yolo,22
icon,"[0.9479326605796814, 0.0018575191497802734, 0.9733499884605408, 0.04742943495512009]",True,a line or symbol.,box_yolo_content_yolo,23
icon,"[0.9699926376342773, 0.06340006738901138, 0.9942300915718079, 0.11787232756614685]",True,a button for selecting a button,box_yolo_content_yolo,24
icon,"[0.10002777725458145, 0.07068853825330734, 0.12014546245336533, 0.11474847048521042]",True,A switching or indicating a new tab or function.,box_yolo_content_yolo,25
icon,"[0.9741529226303101, 0.0013511127326637506, 0.9979604482650757, 0.047670405358076096]",True,a close or cancel function.,box_yolo_content_yolo,26
icon,"[0.9213323593139648, 0.7033438682556152, 0.9502115249633789, 0.7546768188476562]",True,a symbol or logo.,box_yolo_content_yolo,27
icon,"[0.1980421543121338, 0.012670008465647697, 0.21646085381507874, 0.0492657870054245]",True,a close or delete function.,box_yolo_content_yolo,28
icon,"[0.06298031657934189, 0.06456165015697479, 0.08921899646520615, 0.11723609268665314]",True,Refresh or reload.,box_yolo_content_yolo,29
icon,"[0.9204874038696289, 0.7644919753074646, 0.9512380361557007, 0.8184005618095398]",True,a symbol or logo.,box_yolo_content_yolo,30
icon,"[0.005288124084472656, 0.06625870615243912, 0.03127771615982056, 0.11608850955963135]",True,the back arrow.,box_yolo_content_yolo,31
icon,"[0.9229782223701477, 0.004470053128898144, 0.947360634803772, 0.0484677217900753]",True,a single line or rectangle.,box_yolo_content_yolo,32
icon,"[0.9546754956245422, 0.7652950882911682, 0.9816682934761047, 0.817357063293457]",True,a push pin or move action.,box_yolo_content_yolo,33
icon,"[0.003697681473568082, 0.9371334910392761, 0.03511340543627739, 0.9927035570144653]",True,a single circle or indent.,box_yolo_content_yolo,34
icon,"[0.033777058124542236, 0.06639232486486435, 0.05966603010892868, 0.1158825159072876]",True,a push pin or arrow.,box_yolo_content_yolo,35
icon,"[0.8830766677856445, 0.7640228271484375, 0.9106096029281616, 0.8180540204048157]",True,a purple or blue color.,box_yolo_content_yolo,36
icon,"[0.6831501722335815, 0.8480051755905151, 0.7277050018310547, 0.9008969068527222]",True,a power button or symbol.,box_yolo_content_yolo,37
icon,"[0.002279591513797641, 0.005571476649492979, 0.028524255380034447, 0.05293697118759155]",True,a checkmark indicating a task or function.,box_yolo_content_yolo,38
icon,"[0.2261846959590912, 0.011301988735795021, 0.2430623471736908, 0.04645250365138054]",True,Adding a new item or creating a new message.,box_yolo_content_yolo,39
icon,"[0.9544336199760437, 0.7040793299674988, 0.9815969467163086, 0.7552919387817383]",True,a push pin or pinning function.,box_yolo_content_yolo,40
icon,"[0.9515979886054993, 0.6037241816520691, 0.9770038723945618, 0.6546546220779419]",True,a push pin or pointer.,box_yolo_content_yolo,41
icon,"[0.9535724520683289, 0.8485739827156067, 0.9811633825302124, 0.8993345499038696]",True,a symbol or symbol related to a user interface or user interface.,box_yolo_content_yolo,42
icon,"[0.43002548813819885, 0.42451179027557373, 0.48901575803756714, 0.4523511230945587]",True,"the word ""More"" in a text editor.",box_yolo_content_yolo,43
icon,"[0.8023399114608765, 0.5026086568832397, 0.8251354098320007, 0.5449919700622559]",True,a push pin or push pin.,box_yolo_content_yolo,44
icon,"[0.8008369207382202, 0.6081792712211609, 0.8265851736068726, 0.6497218608856201]",True,a profile or avatar.,box_yolo_content_yolo,45
icon,"[7.78712346800603e-05, 0.06598629057407379, 0.005411975085735321, 0.1179656982421875]",True,a blank space or screen.,box_yolo_content_yolo,46
icon,"[0.03470407798886299, 0.009849505499005318, 0.055051039904356, 0.0517292357981205]",True,Refresh or reload.,box_yolo_content_yolo,47
